                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0229,                 3.0573,                 4.6343,                 1.5923,                0.98365,                0.05095,                0.05816,                0.03902,                0.98365,                0.05095,                0.05788,                0.04184,                 1.6462,                 1.9061,                 4.2392,                 1.2657,             0.00015668,             0.00015668,             0.00015668
                      2,                 1.5211,                 1.9839,                 3.4824,                 1.1549,                0.58167,                0.32884,                 0.3457,                0.22737,                0.58167,                0.32884,                0.34312,                0.22383,                 1.3977,                 1.6801,                 2.5833,                  1.146,             0.00031223,             0.00031223,             0.00031223
                      3,                 1.4088,                 1.7409,                 2.4942,                 1.1121,                0.49366,                0.65881,                0.53811,                0.34137,                0.53212,                0.58607,                0.54724,                 0.3388,                 1.3285,                 1.5283,                 1.9285,                 1.1229,             0.00046463,             0.00046463,             0.00046463
                      4,                 1.3461,                 1.6164,                 1.9002,                 1.0884,                0.52985,                0.80204,                0.61285,                0.38479,                0.52985,                0.80204,                0.61347,                0.38118,                 1.2959,                 1.4581,                 1.4527,                 1.1102,             0.00046186,             0.00046186,             0.00046186
                      5,                 1.2788,                 1.5637,                  1.677,                 1.0596,                0.55882,                0.87392,                0.67334,                0.44178,                0.55484,                   0.87,                0.66852,                0.43677,                 1.2187,                 1.3771,                  1.301,                 1.0611,             0.00045715,             0.00045715,             0.00045715
                      6,                 1.1969,                 1.4611,                 1.4568,                  1.033,                0.57274,                0.92255,                0.70297,                 0.4699,                0.56499,                0.91118,                 0.6918,                0.45586,                 1.1712,                 1.3224,                 1.2709,                 1.0411,             0.00045244,             0.00045244,             0.00045244
                      7,                 1.1574,                 1.4467,                 1.3728,                 1.0279,                0.57251,                0.94366,                0.69279,                0.45375,                0.57079,                0.93907,                0.68879,                0.46451,                 1.2235,                 1.3667,                 1.2097,                 1.0756,             0.00044773,             0.00044773,             0.00044773
                      8,                 1.1098,                 1.3828,                 1.3067,                  1.003,                0.58979,                0.92057,                0.70783,                0.47738,                0.58308,                0.91185,                0.70154,                0.48206,                 1.1322,                 1.2919,                 1.1287,                 1.0285,             0.00044301,             0.00044301,             0.00044301
                      9,                 1.1005,                  1.358,                 1.2703,                 1.0058,                 0.5779,                0.95235,                0.73575,                0.49217,                0.57261,                0.95311,                0.73104,                0.50129,                  1.134,                 1.2645,                 1.1226,                 1.0227,              0.0004383,              0.0004383,              0.0004383
                     10,                 1.0492,                 1.3167,                 1.2203,                0.97756,                0.58202,                0.97885,                0.74146,                 0.5064,                0.57945,                0.96654,                0.73373,                0.49922,                 1.1007,                 1.2745,                 1.0649,                 1.0121,             0.00043359,             0.00043359,             0.00043359
                     11,                 1.0403,                 1.2751,                 1.2017,                 0.9797,                0.58097,                0.97637,                0.70309,                0.48974,                0.57964,                0.94355,                0.69541,                0.47881,                 1.0706,                 1.2773,                 1.0782,                 1.0121,             0.00042888,             0.00042888,             0.00042888
                     12,                 1.0094,                 1.2591,                 1.1691,                0.97219,                0.59856,                0.94099,                0.73902,                 0.5042,                0.59954,                0.93876,                0.73825,                0.50309,                 1.1347,                 1.2979,                 1.0475,                 1.0358,             0.00042416,             0.00042416,             0.00042416
                     13,                 1.0228,                 1.2703,                 1.1693,                0.97771,                0.64838,                0.90068,                0.79978,                0.55194,                0.64822,                0.90068,                0.80035,                 0.5595,                 1.1428,                 1.2419,                 1.0005,                  1.038,             0.00041945,             0.00041945,             0.00041945
                     14,                 1.0127,                 1.2686,                 1.1303,                 0.9775,                0.61505,                0.93876,                0.78892,                0.55552,                0.61614,                 0.9356,                 0.7869,                0.55287,                 1.0751,                 1.2651,                 1.0031,                 1.0075,             0.00041474,             0.00041474,             0.00041474
                     15,                0.99283,                 1.2386,                 1.1137,                0.96148,                 0.6267,                0.95129,                0.80529,                 0.5645,                0.62482,                0.94667,                0.80258,                0.56555,                 1.1093,                 1.2708,                 1.0005,                  1.008,             0.00041003,             0.00041003,             0.00041003
                     16,                0.99244,                 1.1969,                 1.1039,                0.96015,                0.62531,                0.93564,                0.77923,                0.54357,                0.62157,                0.92975,                0.77495,                0.54784,                 1.1048,                 1.2586,                0.97527,                 1.0091,             0.00040531,             0.00040531,             0.00040531
                     17,                0.99769,                 1.2159,                 1.0862,                0.95933,                0.59766,                0.98782,                0.77892,                0.55031,                0.59576,                0.98586,                0.77711,                0.53779,                 1.0644,                 1.2335,                 1.0071,                0.99859,              0.0004006,              0.0004006,              0.0004006
                     18,                 0.9836,                 1.2195,                 1.0684,                0.96466,                0.62434,                0.95377,                0.78944,                0.55528,                0.61895,                0.94977,                0.78518,                0.54977,                 1.0786,                 1.2234,                0.94821,                 1.0112,             0.00039589,             0.00039589,             0.00039589
                     19,                 0.9868,                 1.2263,                 1.0637,                0.95674,                0.61873,                0.95606,                0.76656,                0.54263,                0.61873,                0.95606,                0.76656,                0.54436,                 1.0577,                 1.2352,                0.95392,                0.99969,             0.00039118,             0.00039118,             0.00039118
                     20,                0.95497,                 1.1915,                 1.0318,                0.95694,                0.61958,                 0.9549,                0.83638,                0.57995,                0.61824,                0.95344,                0.83218,                0.58423,                 1.0864,                  1.235,                0.92514,                 1.0096,             0.00038646,             0.00038646,             0.00038646
                     21,                0.95138,                 1.2014,                   1.01,                0.95459,                0.64257,                0.94369,                 0.8237,                0.58674,                0.64257,                0.94369,                0.82364,                0.57785,                 1.0617,                 1.2353,                0.92091,                0.99139,             0.00038175,             0.00038175,             0.00038175
                     22,                0.94424,                 1.1719,                0.99558,                0.94952,                 0.7327,                0.91771,                0.87347,                 0.6227,                0.72956,                0.90302,                0.86961,                0.61735,                 1.0515,                 1.2162,                0.84714,                0.99736,             0.00037704,             0.00037704,             0.00037704
                     23,                0.95129,                 1.1806,                0.97371,                0.94926,                0.61679,                 0.9672,                0.77788,                0.54969,                0.61418,                0.96106,                0.77439,                0.54607,                 1.0865,                 1.2636,                0.96301,                 1.0259,             0.00037233,             0.00037233,             0.00037233
                     24,                 0.9512,                 1.1652,                0.96828,                0.94368,                0.72667,                0.92208,                0.87247,                0.62217,                0.71999,                0.90149,                0.86065,                0.60605,                 1.0468,                 1.2381,                0.85096,                 0.9996,             0.00036761,             0.00036761,             0.00036761
                     25,                0.93084,                  1.148,                0.92965,                0.94351,                0.64409,                0.96359,                 0.8103,                0.58213,                0.64099,                0.95748,                0.80604,                0.57214,                 1.0479,                 1.2207,                0.90689,                0.99696,              0.0003629,              0.0003629,              0.0003629
                     26,                0.90715,                  1.119,                0.89098,                0.93724,                0.72995,                 0.9136,                0.85286,                0.60785,                 0.7257,                 0.9109,                0.84895,                0.59645,                 1.0552,                 1.2274,                0.85661,                0.98681,             0.00035819,             0.00035819,             0.00035819
                     27,                0.91976,                 1.1075,                0.89241,                0.93501,                0.74963,                0.86721,                0.88752,                0.63818,                0.73959,                0.87059,                0.88357,                0.62587,                 1.0372,                 1.2266,                0.83674,                0.98873,             0.00035348,             0.00035348,             0.00035348
                     28,                 0.9096,                 1.1345,                0.85872,                 0.9374,                0.67511,                0.90996,                0.83546,                0.59066,                0.67225,                0.90459,                0.83137,                 0.5786,                 1.0648,                 1.2556,                0.90785,                 1.0098,             0.00034877,             0.00034877,             0.00034877
                     29,                0.92691,                 1.1398,                0.85109,                0.93918,                 0.8304,                0.91165,                0.93787,                0.67528,                0.82638,                 0.9086,                0.93138,                0.66306,                 1.0319,                 1.2387,                0.76572,                0.98986,             0.00034405,             0.00034405,             0.00034405
                     30,                0.89113,                 1.1179,                 0.8187,                0.93393,                0.70547,                0.90124,                0.86659,                0.62577,                0.69315,                0.88783,                0.85178,                0.60595,                  1.039,                 1.2075,                0.87167,                0.98762,             0.00033934,             0.00033934,             0.00033934
                     31,                0.88643,                 1.1094,                0.79353,                0.93482,                0.87389,                0.90034,                0.94555,                0.67956,                 0.8538,                0.88402,                0.92543,                0.64809,                 1.0422,                 1.2202,                0.74638,                0.99077,             0.00033463,             0.00033463,             0.00033463
                     32,                0.90334,                 1.1298,                0.78503,                0.93444,                0.78716,                0.89835,                0.89869,                0.64272,                0.78402,                0.89443,                0.89691,                0.63483,                 1.0629,                 1.2462,                0.81167,                 1.0026,             0.00032992,             0.00032992,             0.00032992
                     33,                 0.8835,                  1.088,                0.76156,                0.92913,                 0.8556,                0.91448,                0.94583,                0.66734,                0.85369,                0.91252,                0.94516,                0.66889,                 1.0784,                 1.2481,                0.72686,                 1.0023,              0.0003252,              0.0003252,              0.0003252
                     34,                0.88646,                  1.124,                0.76435,                0.93214,                0.87717,                0.94124,                0.97514,                0.69562,                0.86914,                 0.9334,                0.96214,                0.66805,                 1.0372,                 1.2526,                0.68654,                0.99633,             0.00032049,             0.00032049,             0.00032049
                     35,                0.88322,                 1.1026,                0.75233,                0.92691,                 0.8501,                0.91322,                0.94217,                0.67555,                0.84011,                0.92119,                0.93877,                0.65609,                 1.0435,                  1.234,                 0.7207,                 1.0003,             0.00031578,             0.00031578,             0.00031578
                     36,                0.86586,                 1.1075,                0.73559,                0.92545,                0.82523,                0.92211,                0.94488,                0.67244,                0.81015,                0.93625,                0.93667,                0.65726,                 1.0244,                 1.2247,                0.72264,                0.99377,             0.00031107,             0.00031107,             0.00031107
                     37,                0.86909,                 1.0985,                0.73271,                0.93147,                0.82959,                0.92007,                0.93105,                0.66772,                 0.8316,                0.92204,                0.93637,                0.65995,                 1.0413,                 1.2257,                0.71878,                0.99561,             0.00030635,             0.00030635,             0.00030635
                     38,                0.86033,                  1.064,                0.71737,                0.92273,                0.79527,                0.88819,                0.91663,                0.65667,                0.79028,                0.88427,                 0.9114,                0.63977,                 1.0109,                  1.223,                0.79499,                0.98386,             0.00030164,             0.00030164,             0.00030164
                     39,                0.85971,                 1.0787,                0.70994,                0.92686,                0.87337,                0.91228,                0.95047,                0.68174,                0.87143,                0.91032,                0.94778,                0.67367,                 1.0226,                 1.2034,                0.69184,                0.99563,             0.00029693,             0.00029693,             0.00029693
                     40,                0.85222,                 1.0708,                0.69349,                0.92045,                0.88945,                0.95053,                0.96946,                 0.7026,                0.87906,                0.94113,                0.95821,                0.67717,                 1.0109,                 1.2454,                0.64613,                0.98603,             0.00029222,             0.00029222,             0.00029222
                     41,                0.84591,                 1.0483,                0.68117,                0.91119,                0.90467,                 0.9316,                0.96015,                0.68684,                0.90072,                0.92768,                0.95565,                0.67009,                 1.0341,                 1.2236,                0.67603,                0.98278,              0.0002875,              0.0002875,              0.0002875
                     42,                0.86036,                 1.0847,                0.69616,                0.92438,                0.86093,                0.94005,                0.95349,                0.68409,                0.86087,                0.94005,                0.95314,                0.66903,                 1.0334,                 1.2123,                0.68529,                0.99915,             0.00028279,             0.00028279,             0.00028279
                     43,                0.84043,                 1.0603,                0.67934,                0.91591,                0.91233,                0.95988,                 0.9807,                0.70814,                0.90058,                0.94811,                0.96842,                0.67491,                 1.0097,                 1.2404,                0.60751,                0.98356,             0.00027808,             0.00027808,             0.00027808
                     44,                0.84081,                 1.0473,                0.67065,                0.91411,                 0.9086,                0.93963,                0.96057,                0.68783,                0.90666,                0.93767,                0.95788,                0.67157,                 1.0315,                 1.2162,                0.64057,                0.99212,             0.00027337,             0.00027337,             0.00027337
                     45,                0.83858,                 1.0663,                0.66779,                0.91834,                0.95398,                 0.9612,                0.98617,                 0.7118,                0.94908,                0.95849,                0.98292,                0.69037,                 1.0066,                 1.2164,                0.57392,                0.98447,             0.00026865,             0.00026865,             0.00026865
                     46,                0.82412,                 1.0348,                 0.6556,                0.91543,                0.87852,                0.92729,                0.95333,                 0.6855,                 0.8701,                0.91979,                0.94213,                0.65521,                  1.029,                 1.2338,                0.67978,                0.98931,             0.00026394,             0.00026394,             0.00026394
                     47,                0.82583,                 1.0439,                0.64561,                0.91067,                0.93033,                0.96456,                0.97572,                 0.7021,                0.93033,                0.96456,                0.97411,                0.68387,                 1.0183,                 1.2203,                0.59781,                0.98948,             0.00025923,             0.00025923,             0.00025923
